Designator,Mid X,Mid Y,Rotation,Layer
"BUZ1",368.205000,-41.835000,90.000000,top
"MH1",57.150000,-38.100000,0.000000,top
"MH2",180.975000,-38.100000,0.000000,top
"MH3",349.845313,-38.100000,0.000000,top
"MH4",330.795313,-95.250000,0.000000,top
"MH5",353.218750,-104.775000,0.000000,top
"SWH1",21.431250,-133.350000,0.000000,top
"SWH2",45.243750,-133.350000,0.000000,top
"SWH3",19.050000,-19.050000,0.000000,top
"SWH4",57.150000,-19.050000,0.000000,top
"SWH5",76.200000,-19.050000,0.000000,top
"SWH6",95.250000,-19.050000,0.000000,top
"SWH7",114.300000,-19.050000,0.000000,top
"SWH8",142.875000,-19.050000,0.000000,top
"SWH9",161.925000,-19.050000,0.000000,top
"SWH10",180.975000,-19.050000,0.000000,top
"SWH11",200.025000,-19.050000,0.000000,top
"SWH12",228.600000,-19.050000,0.000000,top
"SWH13",247.650000,-19.050000,0.000000,top
"SWH14",266.700000,-19.050000,0.000000,top
"SWH15",285.750000,-19.050000,0.000000,top
"SWH16",311.745313,-19.050000,0.000000,top
"SWH17",330.795313,-19.050000,0.000000,top
"SWH18",349.845313,-19.050000,0.000000,top
"SWH19",69.056250,-133.350000,0.000000,top
"SWH20",140.493750,-133.350000,0.000000,top
"SWH21",19.050000,-57.150000,0.000000,top
"SWH22",38.100000,-57.150000,0.000000,top
"SWH23",57.150000,-57.150000,0.000000,top
"SWH24",76.200000,-57.150000,0.000000,top
"SWH25",95.250000,-57.150000,0.000000,top
"SWH26",114.300000,-57.150000,0.000000,top
"SWH27",133.350000,-57.150000,0.000000,top
"SWH28",152.400000,-57.150000,0.000000,top
"SWH29",171.450000,-57.150000,0.000000,top
"SWH30",190.500000,-57.150000,0.000000,top
"SWH31",209.550000,-57.150000,0.000000,top
"SWH32",228.600000,-57.150000,0.000000,top
"SWH33",247.650000,-57.150000,0.000000,top
"SWH34",276.225000,-57.150000,0.000000,top
"SWH35",311.745313,-57.150000,0.000000,top
"SWH36",330.795313,-57.150000,0.000000,top
"SWH37",349.845313,-57.150000,0.000000,top
"SWH38",375.840625,-57.150000,180.000000,top
"SWH39",394.890625,-57.150000,180.000000,top
"SWH40",413.940625,-57.150000,0.000000,top
"SWH41",432.990625,-57.150000,0.000000,top
"SWH42",23.812500,-95.250000,180.000000,top
"SWH43",21.431250,-95.250000,0.000000,top
"SWH44",23.812500,-76.200000,0.000000,top
"SWH45",47.625000,-76.200000,0.000000,top
"SWH46",66.675000,-76.200000,0.000000,top
"SWH47",85.725000,-76.200000,0.000000,top
"SWH48",104.775000,-76.200000,0.000000,top
"SWH49",123.825000,-76.200000,0.000000,top
"SWH50",142.875000,-76.200000,0.000000,top
"SWH51",161.925000,-76.200000,0.000000,top
"SWH52",180.975000,-76.200000,0.000000,top
"SWH53",200.025000,-76.200000,0.000000,top
"SWH54",219.075000,-76.200000,0.000000,top
"SWH55",238.125000,-76.200000,0.000000,top
"SWH56",257.175000,-76.200000,0.000000,top
"SWH57",280.987500,-76.200000,0.000000,top
"SWH58",311.745313,-76.200000,0.000000,top
"SWH59",330.795313,-76.200000,0.000000,top
"SWH60",349.845313,-76.200000,0.000000,top
"SWH61",375.840625,-76.200000,0.000000,top
"SWH62",394.890625,-76.200000,0.000000,top
"SWH63",413.940625,-76.200000,0.000000,top
"SWH64",432.990625,-76.200000,0.000000,top
"SWH67",26.193750,-95.250000,0.000000,top
"SWH68",52.387500,-95.250000,0.000000,top
"SWH69",71.437500,-95.250000,0.000000,top
"SWH70",90.487500,-95.250000,0.000000,top
"SWH71",109.537500,-95.250000,0.000000,top
"SWH72",128.587500,-95.250000,0.000000,top
"SWH73",147.637500,-95.250000,0.000000,top
"SWH74",166.687500,-95.250000,0.000000,top
"SWH75",185.737500,-95.250000,0.000000,top
"SWH76",204.787500,-95.250000,0.000000,top
"SWH77",223.837500,-95.250000,0.000000,top
"SWH78",242.887500,-95.250000,0.000000,top
"SWH79",273.843750,-95.250000,0.000000,top
"SWH83",375.840625,-95.250000,0.000000,top
"SWH84",394.890625,-95.250000,0.000000,top
"SWH85",413.940625,-95.250000,0.000000,top
"SWH86",432.990625,-95.250000,180.000000,top
"SWH89",30.956250,-114.300000,0.000000,top
"SWH90",61.912500,-114.300000,0.000000,top
"SWH91",80.962500,-114.300000,0.000000,top
"SWH92",100.012500,-114.300000,0.000000,top
"SWH93",119.062500,-114.300000,0.000000,top
"SWH94",138.112500,-114.300000,0.000000,top
"SWH95",157.162500,-114.300000,0.000000,top
"SWH96",176.212500,-114.300000,0.000000,top
"SWH97",195.262500,-114.300000,0.000000,top
"SWH98",214.312500,-114.300000,0.000000,top
"SWH99",233.362500,-114.300000,0.000000,top
"SWH100",259.556250,-114.300000,0.000000,top
"SWH101",285.750000,-114.300000,0.000000,top
"SWH102",330.795313,-114.300000,0.000000,top
"SWH105",375.840625,-114.300000,0.000000,top
"SWH106",394.890625,-114.300000,0.000000,top
"SWH107",413.940625,-114.300000,0.000000,top
"SWH108",432.990625,-123.825000,90.000000,top
"SWH111",23.812500,-133.350000,180.000000,top
"SWH112",47.625000,-133.350000,180.000000,top
"SWH113",71.437500,-133.350000,180.000000,top
"SWH114",152.400000,-133.350000,0.000000,top
"SWH115",211.931250,-133.350000,0.000000,top
"SWH116",235.743750,-133.350000,0.000000,top
"SWH117",259.556250,-133.350000,0.000000,top
"SWH118",283.368750,-133.350000,0.000000,top
"SWH119",311.745313,-133.350000,0.000000,top
"SWH120",330.795313,-133.350000,0.000000,top
"SWH121",349.845313,-133.350000,0.000000,top
"SWH122",385.365625,-133.350000,0.000000,top
"SWH123",413.940625,-133.350000,0.000000,top
"SWH141",432.990625,-85.725000,-90.000000,top
"SWH142",269.081250,-114.300000,0.000000,top
"SWH143",233.362500,-133.350000,180.000000,top
"SWH144",257.175000,-133.350000,180.000000,top
"SWH145",280.987500,-133.350000,180.000000,top
"SWH148",283.368750,-85.725000,-90.000000,top
"SWH149",261.937500,-95.250000,0.000000,top
"SWH150",42.862500,-114.300000,0.000000,top
"SWH151",21.431250,-114.300000,0.000000,top
"SWH152",283.368750,-85.725000,0.000000,top
"SWH153",286.146875,-85.725000,-90.000000,top
"SWH154",280.590625,-85.725000,-90.000000,top
